444C,9339
2E90,5041
4E10,2756
4E20,2245
444B,1515
2ECA,1438
34C5,1422
1B8F,1166
2EA6,956
2ECB,833
2EC7,758
4221,749
2EC9,693
1AC,669
2E92,656
2EF2,629
2EC8,582
2E93,560
2EA7,522
2EC5,496
2E9A,464
2EB4,444
34A4,439
1AF,437
2E9C,411
2E9E,408
2E91,397
2E9D,390
2E97,378
2E99,377
2EC1,372
2E98,362
2EC3,356
1B8E,354
2EC6,347
2EC4,343
4DEF,322
2EB5,302
4628,302
2EED,297
2EE9,287
2EF0,285
2EEF,282
2EF1,281
34C3,280
2EB7,279
2EC0,276
2EE5,271
2EEB,268
2EEE,267
2EEC,264
2EEA,263
2EBE,262
2EB9,241
1596,229
1A45,225
2E94,222
2EB3,208
2EBF,204
2EB6,187
15B1,182
14FF,175
1B5,170
157C,168
284C,168
3492,167
4EF5,166
4DFA,165
2EB8,165
15B3,156
47F2,147
2EC2,144
4E46,129
535F,125
2EBC,123
481A,120
34C1,119
4F04,105
4F09,104
1B2,104
14F8,104
4849,103
15B2,101
2EB2,100
4965,96
4E08,88
2EAB,88
157D,87
151F,87
14F9,86
2EAA,77
34A5,75
151A,75
2E95,74
3A94,72
1517,72
532B,72
4D4F,71
2EA8,71
14F7,71
3FD4,71
4885,70
14FE,70
2EAF,69
55E6,69
2EAC,68
2EB1,67
14FB,67
3495,63
2EE4,60
34A9,58
34AA,57
1518,57
4223,56
1A55,56
4225,56
4D54,54
486D,52
4D6A,52
1A56,51
1520,50
4DED,50
1500,50
4DFC,49
1509,49
56EC,49
2EBA,48
4703,46
4D16,46
4E41,46
2EBB,45
1A54,45
444E,44
159E,43
3A17,43
15A0,42
151E,42
1598,41
5324,41
3493,40
2E9F,40
1504,40
157E,40
4224,40
2EE7,40
1587,39
4608,38
2EB0,37
34A8,37
34A7,37
47BB,37
4222,36
3FD3,36
5699,36
2EBD,36
34C2,35
4441,33
1594,33
150C,33
1519,33
159B,32
5495,31
47B1,31
1584,30
4D59,30
34C0,30
4E2B,30
158F,29
2EE6,28
47E5,28
2E96,28
463D,27
4DF8,26
4D20,26
1593,26
517A,26
4853,26
15BC,26
444A,25
5189,24
34AB,24
1DD,24
348E,23
1581,23
1525,23
4E58,23
2E8F,22
4DDE,21
1592,21
1595,21
34A6,21
3A18,21
15BB,21
158B,20
3497,20
522A,20
4220,20
1590,20
1589,20
1A6C,19
158D,19
2EE3,18
4EE3,18
2EE0,18
27EF,18
4DE6,18
4226,18
1591,18
2A76,18
2EE2,17
446E,17
1588,17
2EDF,17
4865,17
47CD,17
348F,17
1580,16
2EF5,16
20EE,16
3A9E,16
3494,16
3490,16
1516,15
3FD5,15
1586,14
3FD6,14
15D1,14
1582,14
469F,13
15C3,13
1585,13
4447,12
4934,12
54A2,12
4662,12
158C,12
54D7,12
4EF0,11
4BA3,11
15C1,11
5452,10
444F,10
5460,10
46BE,10
50EE,10
158E,10
5628,10
19C5,10
4D44,10
C13,9
2EA4,9
15BF,9
4923,9
360E,9
158A,9
493D,9
48EF,9
56F5,9
2ED9,9
1B6,8
2EDE,8
484E,8
3496,8
34BE,8
47BA,8
490E,8
1583,8
4686,8
5605,8
50F3,8
50F8,8
5225,8
196E,8
2EE8,8
2EDB,7
5441,7
15C0,7
446A,7
5166,7
2EA2,7
3743,7
4449,7
544A,7
2EDA,7
2EDD,6
4950,6
4918,6
15A2,6
46A4,6
4DE9,6
5427,6
4456,6
15C2,6
15BD,6
4CD6,6
1564,6
4444,6
54C7,6
5210,6
541C,5
2EA9,5
1567,5
521A,4
1566,4
2EA0,4
4466,4
3AA0,4
4442,4
50FD,4
4452,4
29EC,4
5709,4
1599,4
5380,4
55AA,4
3A9F,4
461D,4
492F,4
55A8,4
29ED,3
54D1,3
1561,3
518E,3
4446,3
546B,3
51FD,3
1565,3
5614,2
55FB,2
5600,2
560A,2
5301,2
561E,2
15C4,2
51EA,2
47AF,2
2EA3,2
50E9,2
5623,2
4BC8,2
3AA4,2
4643,2
15BE,2
3AA1,2
46CF,2
4448,2
3AA2,2
15A3,2
2EA5,2
2EA1,2
3AA3,2
15D4,2
4451,2
15D2,2
1A6E,2
1569,1
4450,1
15A4,1
46C7,1
4D46,1
4D7D,1
4632,1
15D5,1
56FF,1
51C7,1
1560,1
317F,1
2E9B,1
